I0,I1,I2,I3,I4,I5
-0.614568,-0.556844,0.080585,0.000000,-0.227106,-0.230920
-0.615061,-0.556460,0.080585,0.000000,-0.231990,-0.234444
-0.615545,-0.556460,0.124542,43.956753,-0.236875,-0.236364
-0.616022,-0.556077,0.139194,14.652251,-0.241758,-0.239824
-0.616491,-0.556077,0.139194,0.000000,-0.241758,-0.241680
-0.616952,-0.555693,0.139194,0.000000,-0.246642,-0.245080
-0.617405,-0.555693,0.153847,14.652251,-0.251526,-0.246872
-0.617850,-0.555309,0.183149,29.302595,-0.251526,-0.250204
-0.618287,-0.554926,0.183149,0.000000,-0.251526,-0.253484
-0.618716,-0.554543,0.197802,14.652251,-0.251526,-0.256733
-0.619137,-0.554543,0.227106,29.304502,-0.251526,-0.258397
-0.619550,-0.554159,0.227106,0.000000,-0.246642,-0.261601
-0.619954,-0.554159,0.227106,0.000000,-0.246642,-0.263201
-0.620351,-0.554159,0.197802,-29.304502,-0.241758,-0.264788
-0.620740,-0.553776,0.168499,-29.302595,-0.241758,-0.267896
-0.621121,-0.553776,0.168499,0.000000,-0.241758,-0.269400
-0.621494,-0.553392,0.153847,-14.652251,-0.241758,-0.272444
-0.621859,-0.553392,0.153847,0.000000,-0.241758,-0.273885
-0.622216,-0.553392,0.139194,-14.652251,-0.246642,-0.275312
-0.622565,-0.553392,0.139194,0.000000,-0.251526,-0.276707
-0.622906,-0.553009,0.124542,-14.652251,-0.256411,-0.279623
-0.623239,-0.553009,0.139194,14.652251,-0.261294,-0.280935
-0.623563,-0.552625,0.139194,0.000000,-0.266178,-0.283791
-0.623880,-0.552625,0.139194,0.000000,-0.271062,-0.285039
-0.624189,-0.552241,0.168499,29.304502,-0.271062,-0.287827
-0.624490,-0.552241,0.153847,-14.652251,-0.275947,-0.289011
-0.624783,-0.551858,0.183149,29.302595,-0.280830,-0.291734
-0.625068,-0.551475,0.183149,0.000000,-0.285714,-0.294407
-0.625345,-0.551475,0.183149,0.000000,-0.285714,-0.295495
-0.625614,-0.551475,0.183149,0.000000,-0.285714,-0.296571
-0.625875,-0.551091,0.168499,-14.650344,-0.285714,-0.299166
-0.626128,-0.551091,0.168499,0.000000,-0.285714,-0.300159
-0.626373,-0.551091,0.153847,-14.652251,-0.285714,-0.301138
-0.626610,-0.550708,0.153847,0.000000,-0.285714,-0.303638
-0.626838,-0.550708,0.139194,-14.652251,-0.280830,-0.304534
-0.627059,-0.550708,0.109890,-29.304502,-0.280830,-0.305417
-0.627272,-0.550708,0.095238,-14.652251,-0.280830,-0.306268
-0.627477,-0.550708,0.080585,-14.652251,-0.280830,-0.307087
-0.627674,-0.550708,0.080585,0.000000,-0.280830,-0.307875
-0.627863,-0.550708,0.065933,-14.652251,-0.285714,-0.308630
-0.628044,-0.550708,0.065933,0.000000,-0.285714,-0.309353
-0.628217,-0.550708,0.051283,-14.650344,-0.285714,-0.310044
-0.628382,-0.550708,0.021978,-29.304502,-0.285714,-0.310704
-0.628539,-0.550708,0.007326,-14.652251,-0.290598,-0.311331
-0.628688,-0.550708,0.007326,0.000000,-0.290598,-0.311926
-0.628828,-0.550708,0.007326,0.000000,-0.290598,-0.312489
-0.628961,-0.550708,-0.007326,-14.652251,-0.295483,-0.313021
-0.629086,-0.550708,-0.036631,-29.304502,-0.300366,-0.313520
-0.629203,-0.550708,-0.036631,0.000000,-0.300366,-0.313987
-0.629312,-0.550708,-0.021978,14.652251,-0.300366,-0.314423
-0.629413,-0.551091,-0.036631,-14.652251,-0.305250,-0.313273
-0.629506,-0.551091,-0.021978,14.652251,-0.305250,-0.313663
-0.629591,-0.550708,-0.036631,-14.652251,-0.310134,-0.315555
-0.629668,-0.551091,-0.021978,14.652251,-0.310134,-0.314291
-0.629737,-0.551091,-0.021978,0.000000,-0.310134,-0.314585
-0.629798,-0.551091,-0.021978,0.000000,-0.315019,-0.314828
-0.629851,-0.551091,-0.007326,14.652251,-0.315019,-0.315040
-0.629895,-0.551091,-0.021978,-14.652251,-0.315019,-0.315219
-0.629932,-0.551091,-0.021978,0.000000,-0.319902,-0.315366
-0.629961,-0.550708,-0.007326,14.652251,-0.319902,-0.317034
-0.629982,-0.551091,-0.007326,0.000000,-0.319902,-0.315546
-0.629995,-0.551091,-0.007326,0.000000,-0.319902,-0.315616
-0.630000,-0.551091,-0.021978,-14.652251,-0.319902,-0.315635
-0.630000,-0.551091,-0.021978,0.000000,-0.319902,-0.315635
-0.629994,-0.551091,-0.007326,14.652251,-0.319902,-0.315611
-0.629976,-0.551091,-0.007326,0.000000,-0.319902,-0.315538
-0.629946,-0.551091,-0.007326,0.000000,-0.315019,-0.315418
-0.629904,-0.551091,-0.021978,-14.652251,-0.315019,-0.315249
-0.629850,-0.551091,-0.036631,-14.652251,-0.315019,-0.315032
-0.629784,-0.551091,-0.036631,0.000000,-0.315019,-0.314768
-0.629706,-0.551475,-0.065933,-29.302595,-0.315019,-0.312903
-0.629616,-0.551475,-0.051283,14.650344,-0.315019,-0.312561
-0.629514,-0.551091,-0.036631,14.652251,-0.315019,-0.313705
-0.629400,-0.551475,-0.036631,0.000000,-0.315019,-0.311677
-0.629274,-0.551475,-0.036631,0.000000,-0.315019,-0.311191
-0.629136,-0.551475,-0.065933,-29.302595,-0.319902,-0.310639
-0.628986,-0.551475,-0.051283,14.650344,-0.319902,-0.310038
-0.628824,-0.551475,-0.051283,0.000000,-0.319902,-0.309390
-0.628650,-0.551475,-0.036631,14.652251,-0.319902,-0.308693
-0.628464,-0.551475,-0.021978,14.652251,-0.319902,-0.307948
-0.628266,-0.551475,-0.007326,14.652251,-0.319902,-0.307156
-0.628056,-0.551475,-0.021978,-14.652251,-0.319902,-0.306315
-0.627834,-0.551475,-0.036631,-14.652251,-0.319902,-0.305427
-0.627600,-0.551475,-0.021978,14.652251,-0.319902,-0.304490
-0.627354,-0.551475,-0.007326,14.652251,-0.319902,-0.303505
-0.627096,-0.551475,-0.021978,-14.652251,-0.319902,-0.302473
-0.626826,-0.551475,-0.021978,0.000000,-0.319902,-0.301392
-0.626544,-0.551475,-0.021978,0.000000,-0.315019,-0.300264
-0.626250,-0.551475,-0.007326,14.652251,-0.315019,-0.299087
-0.625944,-0.551475,-0.021978,-14.652251,-0.315019,-0.297862
-0.625626,-0.551475,-0.021978,0.000000,-0.315019,-0.296590
-0.625296,-0.551475,-0.007326,14.652251,-0.310134,-0.295269
-0.624954,-0.551475,-0.007326,0.000000,-0.310134,-0.293901
-0.624600,-0.551475,0.007326,14.652251,-0.310134,-0.292484
-0.624234,-0.551475,0.007326,0.000000,-0.310134,-0.291019
-0.623856,-0.551475,0.007326,0.000000,-0.305250,-0.289507
-0.623466,-0.551475,0.007326,0.000000,-0.305250,-0.287946
-0.623064,-0.551475,0.007326,0.000000,-0.305250,-0.286338
-0.622650,-0.551475,0.007326,0.000000,-0.305250,-0.284681
-0.622224,-0.551475,-0.007326,-14.652251,-0.300366,-0.282976
-0.621786,-0.551475,0.007326,14.652251,-0.300366,-0.281224
-0.621336,-0.551091,0.007326,0.000000,-0.300366,-0.280976
-0.620874,-0.551475,-0.007326,-14.652251,-0.300366,-0.277555
-0.620400,-0.551091,0.021978,29.304502,-0.300366,-0.277231
-0.619914,-0.551091,0.021978,0.000000,-0.295483,-0.275267
-0.619416,-0.551091,0.021978,0.000000,-0.295483,-0.273274
-0.618906,-0.551091,0.007326,-14.652251,-0.295483,-0.271234
-0.618384,-0.551091,0.021978,14.652251,-0.290598,-0.269145
-0.617850,-0.551091,0.021978,0.000000,-0.290598,-0.267009
-0.617304,-0.551091,0.036631,14.652251,-0.285714,-0.264824
-0.616746,-0.551091,0.036631,0.000000,-0.285714,-0.262591
-0.616176,-0.551091,0.036631,0.000000,-0.285714,-0.260311
-0.615594,-0.551091,0.007326,-29.304502,-0.280830,-0.257982
-0.615000,-0.551091,0.007326,0.000000,-0.275947,-0.255606
-0.614394,-0.550708,0.036631,29.304502,-0.275947,-0.254734
-0.613776,-0.550708,0.036631,0.000000,-0.275947,-0.252242
-0.613146,-0.551091,0.007326,-29.304502,-0.271062,-0.248169
-0.612504,-0.550708,0.007326,0.000000,-0.266178,-0.247172
-0.611850,-0.550708,0.007326,0.000000,-0.266178,-0.244536
-0.611184,-0.550708,0.021978,14.652251,-0.261294,-0.241871
-0.610506,-0.550708,-0.007326,-29.304502,-0.261294,-0.239159
-0.609816,-0.550708,0.007326,14.652251,-0.256411,-0.236398
-0.609114,-0.550708,0.007326,0.000000,-0.256411,-0.233590
-0.608400,-0.550708,0.007326,0.000000,-0.256411,-0.230733
-0.607674,-0.550708,-0.007326,-14.652251,-0.251526,-0.227828
-0.606936,-0.550708,-0.007326,0.000000,-0.251526,-0.224876
-0.606186,-0.550708,0.007326,14.652251,-0.246642,-0.221875
-0.605424,-0.550708,0.007326,0.000000,-0.246642,-0.218827
-0.604650,-0.550708,-0.007326,-14.652251,-0.241758,-0.215730
-0.603864,-0.550708,-0.007326,0.000000,-0.241758,-0.212585
-0.603066,-0.550708,0.007326,14.652251,-0.236875,-0.209393
-0.602256,-0.550708,-0.007326,-14.652251,-0.236875,-0.206152
-0.601434,-0.550708,-0.007326,0.000000,-0.236875,-0.202864
-0.600600,-0.550708,0.007326,14.652251,-0.231990,-0.199527
-0.599754,-0.550708,-0.007326,-14.652251,-0.227106,-0.196143
-0.598896,-0.550708,-0.007326,0.000000,-0.227106,-0.192710
-0.598026,-0.550708,-0.021978,-14.652251,-0.222222,-0.189229
-0.597144,-0.550708,0.007326,29.304502,-0.217339,-0.185701
-0.596250,-0.550708,0.007326,0.000000,-0.212454,-0.182124
-0.595344,-0.550708,0.007326,0.000000,-0.212454,-0.178499
-0.594426,-0.550708,-0.007326,-14.652251,-0.212454,-0.174827
-0.593496,-0.550708,-0.007326,0.000000,-0.202686,-0.171106
-0.592554,-0.550708,-0.007326,0.000000,-0.202686,-0.167338
-0.591600,-0.550708,-0.007326,0.000000,-0.202686,-0.163521
-0.590634,-0.550708,-0.007326,0.000000,-0.197803,-0.159656
-0.589656,-0.550708,0.007326,14.652251,-0.192918,-0.155744
-0.588666,-0.550708,0.007326,0.000000,-0.192918,-0.151783
-0.587664,-0.550708,-0.021978,-29.304502,-0.188034,-0.147775
-0.586650,-0.550708,-0.007326,14.652251,-0.188034,-0.143718
-0.585624,-0.550708,-0.007326,0.000000,-0.183150,-0.139613
-0.584586,-0.550708,0.007326,14.652251,-0.178267,-0.135461
-0.583536,-0.550708,-0.021978,-29.304502,-0.178267,-0.131260
